position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
94,94,Wang Laichun,Wang,wang-laichun,no-pic-female,3000,51,electronics components,Technology,F,//specials-images.forbesimg.com/imageserve/5a061b9131358e542c051d82/416x416.jpg?background=000000&cropX1=74&cropX2=842&cropY1=25&cropY2=794
95,94,Wang Laisheng,Wang,wang-laisheng,no-pic,3000,54,electronics components,Technology,M,
96,94,Simon Xie,Xie,simon-xie,simon-xie,3000,49,online payment service,Technology,M,//specials-images.forbesimg.com/imageserve/eb0f2e7c5736b370425f7365da5bacad/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=76&cropY2=820
97,97,Ding Shizhong,Ding,ding-shizhong,ding-shizhong,2900,48,sports apparel,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5bcfccd831358e5b43344c7d/416x416.jpg?background=000000&cropX1=322&cropX2=845&cropY1=150&cropY2=673
98,98,Ding Shijia,Ding,ding-shijia,no-pic,2800,55,sportswear,Fashion & Retail,M,
99,98,Huang Shih Tsai,Huang,huang-shih-tsai,huang-shih-tsai,2800,67,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/ea3db0dc53d296877dc4d8565c7627ef/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=93&cropY2=693
100,98,Song Zuowen,Song,song-zuowen,song-zuowen,2800,71,"aluminum, diversified",Diversified,M,//specials-images.forbesimg.com/imageserve/75720eea78ab6bb082b46a10cf4bce3a/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
101,101,Zuo Hui,Zuo,zuo-hui,no-pic,2750,48,real estate services,Real Estate,M,//specials-images.forbesimg.com/imageserve/5a7d2a69a7ea431690130f2b/416x416.jpg?background=000000&cropX1=1155&cropX2=3526&cropY1=359&cropY2=2729
102,102,Du Jiangtao,Du,du-jiangtao,du-jiangtao,2700,49,chemicals,Manufacturing,M,//specials-images.forbesimg.com/imageserve/562029ede4b0ffa7afe5eb62/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=58&cropY2=802
103,103,Jacky Xu,Xu,jacky-xu,no-pic,2690,47,apparel,Fashion & Retail,M,
104,103,Xu Xudong,Xu,xu-xudong,no-pic,2690,48,auto parts,Automotive,M,
105,105,Huang Wei,Huang,huang-wei,no-pic,2670,59,real estate,Real Estate,M,
106,106,Feng Hailiang,Feng,feng-hailiang,feng-hailiang,2600,58,"copper, education",Metals & Mining,M,//specials-images.forbesimg.com/imageserve/5bcfb86d31358e5b43344bc9/416x416.jpg?background=000000&cropX1=148&cropX2=845&cropY1=5&cropY2=702
107,106,Li Li,Li,li-li-2,li-li-2,2600,54,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/69dcd58a6e2fc405ce93ec3eeb8e051a/416x416.jpg?background=000000&cropX1=21&cropX2=731&cropY1=55&cropY2=766
108,106,Zhang Wenzhong,Zhang,zhang-wenzhong,no-pic,2600,57,Retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a7d249b4bbe6f2652f51279/416x416.jpg?background=000000&cropX1=0&cropX2=1146&cropY1=89&cropY2=1235
109,109,Chen Jianhua,Chen,chen-jianhua,chen-jianhua,2590,48,chemicals,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7c84c34bbe6f2652f500c1/416x416.jpg?background=000000&cropX1=456&cropX2=3051&cropY1=6&cropY2=2598
110,109,Ni Zugen,Ni,ni-zugen,no-pic,2590,61,appliances,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a9725ac4bbe6f0fa826ee2b/416x416.jpg?background=000000&cropX1=54&cropX2=1245&cropY1=217&cropY2=1408
111,111,Sze Man Bok,Sze,sze-man-bok,sze-man-bok,2580,69,hygiene products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/c3653c28ec41a0342432ee78a9d95c46/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=6&cropY2=747
112,112,Hui Lin Chit,Hui,hui-lin-chit,hui-lin-chit,2570,65,hygiene products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7cbadc31358e4955acf7c0/416x416.jpg?background=000000&cropX1=632&cropX2=3041&cropY1=5&cropY2=2412
113,113,Shen Wenrong,Shen,shen-wenrong,shen-wenrong,2530,72,steel production,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/5a7cec5ba7ea431690130cd9/416x416.jpg?background=000000&cropX1=14&cropX2=2681&cropY1=542&cropY2=3207
114,114,Lin Zhong,Lin,lin-zhong,no-pic,2520,50,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d2201a7ea431f321929d4/416x416.jpg?background=000000&cropX1=159&cropX2=602&cropY1=89&cropY2=532
115,115,Xu Bo,Xu,xu-bo,no-pic,2500,41,mobile games,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/59fb37f24bbe6f37dda19944/416x416.jpg?background=000000&cropX1=119&cropX2=741&cropY1=79&cropY2=701
116,116,Cho Tak Wong,Cho,cho-tak-wong,cho-tak-wong,2490,72,auto parts,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7e6847a7ea431690132502/416x416.jpg?background=000000&cropX1=339&cropX2=1769&cropY1=0&cropY2=1429
117,117,Yu Minhong,Yu,yu-minhong,yu-minhong,2440,57,education,Service,M,//specials-images.forbesimg.com/imageserve/5a7d1c54a7ea431690130e7f/416x416.jpg?background=000000&cropX1=681&cropX2=2599&cropY1=170&cropY2=2087
118,118,Wu Lanlan,Wu,wu-lanlan,no-pic-female,2420,45,packaging,Manufacturing,F,
119,119,Lei Jufang,Lei,lei-jufang,lei-jufang,2410,66,pharmaceuticals,Healthcare,F,//specials-images.forbesimg.com/imageserve/178c9756ea81a7e86d7fb10dd7be09b9/416x416.jpg?background=000000&cropX1=35&cropX2=719&cropY1=42&cropY2=727
120,120,Lam Kong,Lam,lam-kong,lam-kong,2390,54,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/18557d61bfcbfb0783aebace2f7f4d6b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
121,121,Wu Jianshu,Wu,wu-jianshu,no-pic,2380,55,auto parts,Automotive,M,
122,122,Chu Lam Yiu,Chu,chu-lam-yiu,chu-lam-yiu,2370,49,flavorings,Manufacturing,F,//specials-images.forbesimg.com/imageserve/913c271ffb6af89c53465bf2b73b8992/416x416.jpg?background=000000&cropX1=34&cropX2=623&cropY1=0&cropY2=590
123,122,Qiu Jianping,Qiu,qiu-jianping,qiu-jianping,2370,56,hand tools,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a7ce9e3a7ea431690130cc5/416x416.jpg?background=000000&cropX1=730&cropX2=3332&cropY1=231&cropY2=2832
124,122,Zhu Xingliang,Zhu,zhu-xingliang,zhu-xingliang,2370,59,construction,Construction & Engineering,M,//specials-images.forbesimg.com/imageserve/f893b3ba5dfb8226119a6f70602a1477/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=121&cropY2=865
125,125,Xiao Wenge,Xiao,xiao-wenge,xiao-wenge,2360,52,entertainment,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/b503b236a2b585fd51be8e054fcf03b3/416x416.jpg?background=000000&cropX1=127&cropX2=739&cropY1=124&cropY2=736
126,126,Qi Shi,Qi,qi-shi,qi-shi,2330,49,financial information,Technology,M,//specials-images.forbesimg.com/imageserve/57a3b4d7a7ea4337c2cef3c2/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=5&cropY2=746
