name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Markus Blocher,Blocher,markus-blocher,no-pic,8.376,chemicals,Manufacturing,M,Switzerland,1547574901334,1014.029,1987,1987,//specials-images.forbesimg.com/imageserve/58a65e8b4bbe6f0e55870188/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=87&cropY2=828
Leonid Boguslavsky,Boguslavsky,leonid-boguslavsky,leonid-boguslavsky,0,venture capital,Finance and Investments,M,Russia,1547574901334,1270,1704,1704,//specials-images.forbesimg.com/imageserve/5a80aa4f31358e4955ad2b70/416x416.jpg?background=000000&cropX1=321&cropX2=2425&cropY1=9&cropY2=2111
Anna Maria Braun,Braun,anna-maria-braun,no-pic-female,0,medical technology,Healthcare,F,Germany,1547574901334,1491.743,1472,1472,
Johanna Braun,Braun,johanna-braun,no-pic-female,0,medical technology,Healthcare,F,Germany,1547574901334,1491.743,1472,1473,
Karl Friedrich Braun,Braun,karl-friedrich-braun,no-pic,0,medical technology,Healthcare,M,Germany,1547574901334,1491.743,1472,1474,
Ludwig Theodor Braun,Braun,ludwig-theodor-braun,no-pic,0,medical technology,Healthcare,M,Germany,1547574901334,1444.036,1535,1535,
Hideyuki Busujima,Busujima,hideyuki-busujima,no-pic,-14.206,pachinko machines,Gambling & Casinos,M,Japan,1547574901334,1304.891,1663,1663,
Richard Chang,Chang,richard-chang,richard-chang,,"real estate, electronics",Real Estate,M,Taiwan,1538748823188,,,,//specials-images.forbesimg.com/imageserve/139f1ffa4917e7932adae4f11adbc9d5/416x416.jpg?background=000000&cropX1=8&cropX2=744&cropY1=73&cropY2=809
Chen Baozhen,Chen,chen-baozhen,no-pic-female,,internet services,Technology,F,China,1518126130998,,,,
Chen Xiaxin,Chen,chen-xiaxin,no-pic,,manufacturing,Diversified,M,China,1518125609040,,,,
Chen Zuyuan,Chen,chen-zuyuan,no-pic,,"real estate, pharmaceuticals",Diversified,M,China,1518126145470,,,,
Cheng Xianfeng,Cheng,cheng-xianfeng,no-pic,,pharmaceuticals,Healthcare,M,China,1518125527558,,,,
Cheng Xue,Cheng,cheng-xue,no-pic-female,180.544,soy sauce,Food and Beverage,F,China,1547574901333,2795.813,784,784,
Cho Jung-Ho,Cho,cho-jung-ho,cho-jung-ho,17.397,finance,Finance and Investments,M,South Korea,1547574901334,1158.979,1820,1820,//specials-images.forbesimg.com/imageserve/5b15b185a7ea436b547f6149/416x416.jpg?background=000000&cropX1=0&cropX2=1458&cropY1=8&cropY2=1465
Cho Yang-Rai,Cho,cho-yang-rai,cho-yang-rai,,tire manufacturing,Manufacturing,M,South Korea,1518126126593,,,,//specials-images.forbesimg.com/imageserve/571a76ac4bbe6f6f9574db20/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=45&cropY2=789
Ivan Chrenko,Chrenko,ivan-chrenko,no-pic,0,real estate,Real Estate,M,Slovakia,1547574901334,1263.761,1709,1709,
Chung Mong-Joon,Chung,chung-mong-joon,chung-mong-joon,5.613,"shipbuilding, industrial machines",Manufacturing,M,South Korea,1547574901334,1192.58,1787,1787,//specials-images.forbesimg.com/imageserve/5b15b1b9a7ea436b547f6153/416x416.jpg?background=000000&cropX1=855&cropX2=4341&cropY1=0&cropY2=3489
Chung Yong-Jin,Chung,chung-yong-jin,chung-yong-jin,23.482,retail,Fashion & Retail,M,South Korea,1547574901334,1120.562,1875,1875,//specials-images.forbesimg.com/imageserve/5b15b0e04bbe6f74868b91e2/416x416.jpg?background=000000&cropX1=3&cropX2=1094&cropY1=6&cropY2=1097
Robert Citrone,Citrone,robert-citrone,robert-citrone,,hedge fund,Finance and Investments,M,United States,1518126135927,,,,//specials-images.forbesimg.com/imageserve/58cfcd0ea7ea431f321b6b92/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=2&cropY2=746
Arnold Clark,Clark,arnold-clark,no-pic,,Arnold Clark Automobiles,Automotive,M,United Kingdom,1518126146636,,,,//specials-images.forbesimg.com/imageserve/58a0af544bbe6f0e55869b7e/416x416.jpg?background=000000&cropX1=100&cropX2=612&cropY1=37&cropY2=549
John Collison,Collison,john-collison,john-collison,0,Stripe,Technology,M,Ireland,1547574901334,1000,2004,2007,http://specials-images.forbesimg.com/imageserve/58586292a7ea431d601b5365/416x416.jpg?background=000000&cropX1=42&cropX2=718&cropY1=151&cropY2=828
Patrick Collison,Collison,patrick-collison,patrick-collison,0,Stripe,Technology,M,Ireland,1547574901334,1000,2004,2009,http://specials-images.forbesimg.com/imageserve/583db027a7ea431d601a1cf4/416x416.jpg?background=000000&cropX1=151&cropX2=618&cropY1=50&cropY2=517
Alberto Cortina,Cortina,alberto-cortina,alberto-cortina,-4.744,investments,Finance and Investments,M,Spain,1547574901334,1444.377,1534,1534,//specials-images.forbesimg.com/imageserve/58dac21b31358e58f079d300/416x416.jpg?background=000000&cropX1=0&cropX2=437&cropY1=79&cropY2=516
Sol Daurella,Daurella,sol-daurella,no-pic-female,6.464,Coca-Cola,Food and Beverage,F,Spain,1547574901334,1521.921,1447,1447,//specials-images.forbesimg.com/imageserve/5a8115774bbe6f2652f5450a/416x416.jpg?background=000000&cropX1=1050&cropX2=4221&cropY1=14&cropY2=3188
D. Leopoldo Del Pino y Calvo-Sotelo,Del Pino y Calvo-Sotelo,d-leopoldo-del-pino-y-calvo-sotelo,no-pic,-3.306,construction,Construction & Engineering,M,Spain,1547574901334,1463.059,1508,1508,
