Rank,Name,Total_net_worth,Country,Industry
380,Frank Lowy,$4.49B,Australia,Real Estate
381,Shahid Khan,$4.49B,United States,Consumer
382,Gabe Newell,$4.48B,United States,Technology
383,Odd Reitan,$4.47B,Norway,Food & Beverage
384,Jude Reyes,$4.47B,United States,Consumer
385,Chris Reyes,$4.47B,United States,Consumer
386,Abdullah Al Ghurair,$4.47B,United Arab Emirates,Diversified
387,Roberto Marinho,$4.44B,Brazil,Media & Telecom
388,Joao Marinho,$4.44B,Brazil,Media & Telecom
389,Laurence Graff,$4.44B,United Kingdom,Consumer
390,Zhou Hongyi,$4.43B,China,Technology
391,Richard Li,$4.42B,Hong Kong,Media & Telecom
392,Magdalena Martullo-Blocher,$4.42B,Switzerland,Industrial
393,Jose Marinho,$4.41B,Brazil,Media & Telecom
394,Anders Holch Povlsen,$4.38B,Denmark,Retail
395,K P Singh,$4.36B,India,Real Estate
396,Bob Kraft,$4.36B,United States,Entertainment
397,Denise Coates,$4.36B,United Kingdom,Entertainment
398,Guo Guangchang,$4.36B,China,Finance
399,Thomas Schmidheiny,$4.35B,Switzerland,Industrial
400,Idan Ofer,$4.35B,Israel,Energy
401,Iskander Makhmudov,$4.35B,Russian Federation,Commodities
402,Sam Zell,$4.34B,United States,Real Estate
403,Nie Tengyun,$4.34B,China,Services
404,Vikram Lal,$4.34B,India,Industrial
405,Zhang Shiping,$4.33B,China,Industrial
406,Rahel Blocher,$4.32B,Switzerland,Industrial
407,Chung Mong-Koo,$4.32B,"Korea, Republic of",Industrial
408,Jaime Gilinski Bacal,$4.31B,Colombia,Finance
409,Xu Jingren,$4.30B,China,Health Care
410,Wang Chuan-Fu,$4.29B,China,Consumer
411,David Cheriton,$4.29B,Canada,Technology
412,Micky Jagtiani,$4.25B,India,Retail
413,Judy Faulkner,$4.25B,United States,Technology
414,Andre Hoffmann,$4.24B,Switzerland,Health Care
415,Rupert Johnson,$4.24B,United States,Finance
416,Vera Michalski-Hoffmann,$4.23B,Switzerland,Health Care
417,Maja Hoffmann,$4.23B,Switzerland,Health Care
418,Walter Faria,$4.21B,Brazil,Food & Beverage
419,Antti Herlin,$4.20B,Finland,Industrial
420,Bernie Marcus,$4.20B,United States,Retail
421,Woody Johnson,$4.19B,United States,Diversified
422,Isaac Perlmutter,$4.19B,United States,Entertainment
423,Reed Hastings,$4.17B,United States,Technology
424,Sumet Jiaravanon,$4.17B,Thailand,Diversified
425,Anthoni Salim,$4.17B,Indonesia,Diversified
426,Rocco Commisso,$4.15B,United States,Media & Telecom
427,David Sun,$4.15B,United States,Technology
428,John Tu,$4.15B,United States,Technology
429,Thomas Strungmann,$4.15B,Germany,Health Care
430,Andreas Strungmann,$4.15B,Germany,Health Care
431,Ted Lerner,$4.14B,United States,Real Estate
432,Pat Stryker,$4.13B,United States,Health Care
